customer_id,timestamp,channel,query_text,intent,entities,response_text,sentiment,resolution_status
C1000,2025-05-05T01:14:00Z,email,Query related to change address for order #94870.,Change Address,{},Your delivery address has been updated for order #94870.,Negative,Pending
C1001,2025-05-02T07:36:00Z,chat,Query related to cancel order for order #90316.,Cancel Order,{'order_id': '90316'},Your cancellation request for order #90316 has been processed.,Negative,Pending
C1002,2025-05-02T12:42:00Z,web form,Query related to reset password for order #93970.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Positive,No
C1003,2025-05-07T19:41:00Z,web form,Query related to change address for order #93539.,Change Address,{},Your delivery address has been updated for order #93539.,Negative,Yes
C1004,2025-05-05T05:03:00Z,web form,Query related to change address for order #95961.,Change Address,{},Your delivery address has been updated for order #95961.,Neutral,No
C1005,2025-05-02T05:24:00Z,chat,Query related to reset password for order #94732.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Negative,Yes
C1006,2025-05-02T16:03:00Z,email,Query related to track shipment for order #93566.,Track Shipment,{'order_id': '93566'},You can track your shipment with this link: https://example.com/track/93566,Positive,No
C1007,2025-05-05T14:33:00Z,chat,Query related to reset password for order #95448.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Negative,No
C1008,2025-05-05T12:12:00Z,web form,Query related to change address for order #94163.,Change Address,{},Your delivery address has been updated for order #94163.,Negative,Pending
C1009,2025-05-08T06:59:00Z,web form,Query related to change address for order #90025.,Change Address,{},Your delivery address has been updated for order #90025.,Neutral,Yes
C1010,2025-05-02T23:51:00Z,web form,Query related to cancel order for order #96228.,Cancel Order,{'order_id': '96228'},Your cancellation request for order #96228 has been processed.,Negative,Pending
C1011,2025-05-07T15:59:00Z,chat,Query related to change address for order #98119.,Change Address,{},Your delivery address has been updated for order #98119.,Negative,Pending
C1012,2025-05-05T17:42:00Z,email,Query related to cancel order for order #98364.,Cancel Order,{'order_id': '98364'},Your cancellation request for order #98364 has been processed.,Positive,Yes
C1013,2025-05-04T06:00:00Z,chat,Query related to reset password for order #93794.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Negative,No
C1014,2025-05-07T10:08:00Z,chat,Query related to report wrong item for order #92104.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Negative,No
C1015,2025-05-03T16:33:00Z,web form,Query related to check order status for order #94849.,Check Order Status,{'order_id': '94849'},Your order #94849 was shipped and will arrive soon.,Neutral,No
C1016,2025-05-02T08:17:00Z,email,Query related to track shipment for order #99789.,Track Shipment,{'order_id': '99789'},You can track your shipment with this link: https://example.com/track/99789,Neutral,Pending
C1017,2025-05-05T12:05:00Z,email,Query related to check order status for order #92457.,Check Order Status,{'order_id': '92457'},Your order #92457 was shipped and will arrive soon.,Negative,Yes
C1018,2025-05-06T11:20:00Z,email,Query related to cancel order for order #94992.,Cancel Order,{'order_id': '94992'},Your cancellation request for order #94992 has been processed.,Neutral,Pending
C1019,2025-05-03T21:11:00Z,email,Query related to track shipment for order #92802.,Track Shipment,{'order_id': '92802'},You can track your shipment with this link: https://example.com/track/92802,Negative,No
C1020,2025-05-03T02:39:00Z,web form,Query related to reset password for order #90748.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Neutral,Yes
C1021,2025-05-04T00:12:00Z,email,Query related to cancel order for order #91726.,Cancel Order,{'order_id': '91726'},Your cancellation request for order #91726 has been processed.,Neutral,No
C1022,2025-05-03T06:52:00Z,web form,Query related to reset password for order #91483.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Positive,No
C1023,2025-05-03T19:27:00Z,web form,Query related to cancel order for order #96947.,Cancel Order,{'order_id': '96947'},Your cancellation request for order #96947 has been processed.,Positive,No
C1024,2025-05-06T04:07:00Z,chat,Query related to reset password for order #91499.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Positive,Pending
C1025,2025-05-05T00:21:00Z,chat,Query related to track shipment for order #99812.,Track Shipment,{'order_id': '99812'},You can track your shipment with this link: https://example.com/track/99812,Positive,Yes
C1026,2025-05-03T14:22:00Z,chat,Query related to report wrong item for order #98387.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Neutral,Pending
C1027,2025-05-05T08:00:00Z,web form,Query related to report wrong item for order #91202.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Negative,Yes
C1028,2025-05-01T11:25:00Z,email,Query related to check order status for order #97114.,Check Order Status,{'order_id': '97114'},Your order #97114 was shipped and will arrive soon.,Neutral,Yes
C1029,2025-05-05T05:23:00Z,chat,Query related to reset password for order #93422.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Negative,Pending
C1030,2025-05-01T15:54:00Z,web form,Query related to check order status for order #96046.,Check Order Status,{'order_id': '96046'},Your order #96046 was shipped and will arrive soon.,Positive,Yes
C1031,2025-05-03T08:49:00Z,web form,Query related to check order status for order #90228.,Check Order Status,{'order_id': '90228'},Your order #90228 was shipped and will arrive soon.,Neutral,Pending
C1032,2025-05-04T22:02:00Z,chat,Query related to reset password for order #98812.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Positive,Pending
C1033,2025-05-03T07:42:00Z,web form,Query related to report wrong item for order #95330.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Neutral,No
C1034,2025-05-07T07:22:00Z,email,Query related to check order status for order #98021.,Check Order Status,{'order_id': '98021'},Your order #98021 was shipped and will arrive soon.,Neutral,No
C1035,2025-05-07T07:24:00Z,chat,Query related to cancel order for order #95261.,Cancel Order,{'order_id': '95261'},Your cancellation request for order #95261 has been processed.,Negative,No
C1036,2025-05-04T03:41:00Z,email,Query related to reset password for order #94477.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Positive,Yes
C1037,2025-05-05T07:09:00Z,web form,Query related to track shipment for order #93962.,Track Shipment,{'order_id': '93962'},You can track your shipment with this link: https://example.com/track/93962,Neutral,Pending
C1038,2025-05-04T11:30:00Z,web form,Query related to change address for order #99484.,Change Address,{},Your delivery address has been updated for order #99484.,Neutral,Yes
C1039,2025-05-02T09:39:00Z,chat,Query related to cancel order for order #90940.,Cancel Order,{'order_id': '90940'},Your cancellation request for order #90940 has been processed.,Neutral,Pending
C1040,2025-05-06T05:55:00Z,chat,Query related to track shipment for order #92268.,Track Shipment,{'order_id': '92268'},You can track your shipment with this link: https://example.com/track/92268,Neutral,No
C1041,2025-05-03T08:36:00Z,chat,Query related to report wrong item for order #99495.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Neutral,No
C1042,2025-05-07T08:16:00Z,email,Query related to report wrong item for order #93799.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Neutral,No
C1043,2025-05-05T09:08:00Z,web form,Query related to report wrong item for order #98587.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Positive,Pending
C1044,2025-05-01T15:56:00Z,web form,Query related to change address for order #96866.,Change Address,{},Your delivery address has been updated for order #96866.,Neutral,Pending
C1045,2025-05-08T00:39:00Z,email,Query related to report wrong item for order #98034.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Negative,Pending
C1046,2025-05-07T21:07:00Z,email,Query related to reset password for order #98714.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Negative,Yes
C1047,2025-05-01T13:33:00Z,web form,Query related to reset password for order #99643.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Positive,Pending
C1048,2025-05-04T11:34:00Z,email,Query related to change address for order #95111.,Change Address,{},Your delivery address has been updated for order #95111.,Negative,Pending
C1049,2025-05-04T12:31:00Z,web form,Query related to report wrong item for order #97362.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Negative,No
C1050,2025-05-04T12:30:00Z,chat,Query related to track shipment for order #99213.,Track Shipment,{'order_id': '99213'},You can track your shipment with this link: https://example.com/track/99213,Negative,Yes
C1051,2025-05-07T16:21:00Z,web form,Query related to cancel order for order #93412.,Cancel Order,{'order_id': '93412'},Your cancellation request for order #93412 has been processed.,Positive,Pending
C1052,2025-05-01T20:32:00Z,web form,Query related to change address for order #90506.,Change Address,{},Your delivery address has been updated for order #90506.,Positive,Yes
C1053,2025-05-06T06:38:00Z,chat,Query related to report wrong item for order #98507.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Neutral,Pending
C1054,2025-05-04T08:27:00Z,email,Query related to track shipment for order #93496.,Track Shipment,{'order_id': '93496'},You can track your shipment with this link: https://example.com/track/93496,Negative,Yes
C1055,2025-05-06T21:08:00Z,web form,Query related to reset password for order #98432.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Negative,Yes
C1056,2025-05-07T02:10:00Z,web form,Query related to change address for order #91870.,Change Address,{},Your delivery address has been updated for order #91870.,Negative,No
C1057,2025-05-06T07:18:00Z,email,Query related to track shipment for order #97905.,Track Shipment,{'order_id': '97905'},You can track your shipment with this link: https://example.com/track/97905,Negative,No
C1058,2025-05-04T02:01:00Z,chat,Query related to reset password for order #97049.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Positive,No
C1059,2025-05-04T00:02:00Z,email,Query related to change address for order #90692.,Change Address,{},Your delivery address has been updated for order #90692.,Negative,Pending
C1060,2025-05-07T03:36:00Z,email,Query related to change address for order #90065.,Change Address,{},Your delivery address has been updated for order #90065.,Neutral,No
C1061,2025-05-03T18:10:00Z,chat,Query related to cancel order for order #93322.,Cancel Order,{'order_id': '93322'},Your cancellation request for order #93322 has been processed.,Neutral,Yes
C1062,2025-05-01T15:25:00Z,email,Query related to reset password for order #91951.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Neutral,No
C1063,2025-05-08T06:59:00Z,email,Query related to reset password for order #99544.,Reset Password,{},Please use [this link](https://example.com/reset) to reset your password.,Negative,Pending
C1064,2025-05-03T02:34:00Z,web form,Query related to cancel order for order #90866.,Cancel Order,{'order_id': '90866'},Your cancellation request for order #90866 has been processed.,Neutral,No
C1065,2025-05-02T16:58:00Z,web form,Query related to check order status for order #96983.,Check Order Status,{'order_id': '96983'},Your order #96983 was shipped and will arrive soon.,Neutral,No
C1066,2025-05-05T09:00:00Z,chat,Query related to track shipment for order #95342.,Track Shipment,{'order_id': '95342'},You can track your shipment with this link: https://example.com/track/95342,Negative,Pending
C1067,2025-05-03T16:43:00Z,email,Query related to report wrong item for order #91996.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Positive,No
C1068,2025-05-02T13:22:00Z,chat,Query related to check order status for order #93698.,Check Order Status,{'order_id': '93698'},Your order #93698 was shipped and will arrive soon.,Negative,Pending
C1069,2025-05-05T02:56:00Z,web form,Query related to report wrong item for order #96057.,Report Wrong Item,{},We're sorry! Upload a photo of the item and we’ll send the correct one.,Neutral,No
C1070,2025-05-07T17:46:00Z,web form,Query related to check order status for order #92841.,Check Order Status,{'order_id': '92841'},Your order #92841 was shipped and will arrive soon.,Neutral,Yes
